year,departamento,municipio,total,hombres,mujeres,indeterminado
2019,25 Cundinamarca,25053 Arbeláez,83,47,36,0
2019,25 Cundinamarca,25086 Beltrán,13,9,4,0
2019,25 Cundinamarca,25095 Bituima,8,4,4,0
2019,25 Cundinamarca,25099 Bojacá,102,50,52,0
2019,25 Cundinamarca,25120 Cabrera,47,25,22,0
2019,25 Cundinamarca,25123 Cachipay,100,59,41,0
2019,25 Cundinamarca,25126 Cajicá,912,470,442,0
2019,25 Cundinamarca,25148 Caparrapí,74,37,37,0
2019,25 Cundinamarca,25151 Cáqueza,202,93,109,0
2019,25 Cundinamarca,25154 Carmen de Carupa,75,38,37,0
2019,25 Cundinamarca,25168 Chaguaní,19,11,8,0
2019,25 Cundinamarca,25175 Chía,1864,966,898,0
2019,25 Cundinamarca,25178 Chipaque,101,68,33,0
2019,25 Cundinamarca,25181 Choachí,104,51,53,0
2019,25 Cundinamarca,25183 Chocontá,357,193,164,0
2019,25 Cundinamarca,25200 Cogua,227,119,108,0
2019,25 Cundinamarca,25214 Cota,359,199,160,0
2019,25 Cundinamarca,25224 Cucunubá,94,52,42,0
2019,25 Cundinamarca,25245 El Colegio,216,119,97,0
2019,25 Cundinamarca,25258 El Peñón,32,20,12,0
2019,25 Cundinamarca,25260 El Rosal,440,217,223,0
2019,25 Cundinamarca,25269 Facatativá,1878,984,894,0
2019,25 Cundinamarca,25279 Fómeque,134,75,59,0
2019,25 Cundinamarca,25281 Fosca,76,41,35,0
2019,25 Cundinamarca,25286 Funza,1111,575,536,0
2019,25 Cundinamarca,25288 Fúquene,56,26,30,0
2019,25 Cundinamarca,25290 Fusagasugá,1603,846,757,0
